primaryTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
The Other Side of the Wind	2018	122	Drama	6.7	7678
One Dog Day	2022	101	Action,Comedy	7.2	28
A Dangerous Practice	2022	108	Drama	7.2	184
Premaloka	2021	154	Drama,Romance	7.9	526
Heaven & Hell	2018	104	Drama	4.0	123
Parinati	2020	125	Drama	7.8	69
Chhatrapati Shivaji	2017	170	Drama,History	9.0	68
Mortal Kombat	2021	110	Action,Adventure,Fantasy	6.0	180275
Wazir	2016	103	Action,Crime,Drama	7.1	19466
5-25-77	2022	132	Comedy,Drama	6.4	1077
My Land	2018	102	Drama,Family	7.9	94
Chatô - The King of Brazil	2016	102	Biography,Drama	6.0	733
Aman Ke Farishtey	2016	137	Action	7.3	29
American Pastoral	2016	108	Crime,Drama	6.1	17480
Motherless Brooklyn	2019	144	Crime,Drama,Mystery	6.8	60063
A Million Little Pieces	2018	113	Drama	6.2	3731
Alita: Battle Angel	2019	122	Action,Adventure,Sci-Fi	7.3	278038
Danger Close	2019	118	Action,Drama,War	6.8	14112
The History of Love	2016	134	Drama,Romance,War	6.3	1478
Shazam!	2019	132	Action,Adventure,Comedy	7.0	361460
Wonder Woman	2017	141	Action,Adventure,Fantasy	7.4	672935
Hot Country, Cold Winter	2016	104	Drama	4.2	70
Hail, Caesar!	2016	106	Comedy,Drama,Mystery	6.3	138770
Silence	2016	161	Drama,History	7.1	116431
Suburbicon	2017	105	Comedy,Crime,Drama	5.8	45752
Tulip Fever	2017	105	Drama,History,Romance	6.2	22007
Rings	2017	102	Drama,Horror,Mystery	4.5	41851
Without Remorse	2021	109	Action,Thriller,War	5.8	60887
The Last Full Measure	2019	116	Drama,War	6.8	12865
The Dirt	2019	107	Biography,Comedy,Drama	7.0	52200
Warcraft	2016	123	Action,Adventure,Fantasy	6.7	269884
The Witches	2020	106	Adventure,Comedy,Family	5.3	43397
Dirt Music	2019	105	Crime,Drama,Romance	5.3	932
Pet Sematary	2019	101	Horror,Mystery,Thriller	5.7	94531
Bolden	2019	108	Drama	5.5	584
Dukun	2018	108	Crime,Horror,Thriller	6.6	492
Jungle Cruise	2021	127	Action,Adventure,Comedy	6.6	198901
Hellraiser	2022	121	Horror,Mystery,Thriller	6.0	41174
Invasion of the Not Quite Dead	2022	103	Drama,Horror,Thriller	7.1	110
The Legend of Tarzan	2016	110	Action,Adventure,Drama	6.2	181070
Road to Red	2020	120	Action,Adventure,Horror	3.8	655
Back Roads	2018	101	Crime,Drama,Thriller	6.3	5201
Justice League	2017	120	Action,Adventure,Fantasy	6.1	462196
Fantasy Island	2020	109	Fantasy,Horror,Mystery	4.9	54814
Army of the Dead	2021	148	Action,Crime,Drama	5.7	177873
A Journal for Jordan	2021	131	Drama,Romance,War	5.9	2375
Pele: Birth of a Legend	2016	107	Biography,Drama,Sport	7.1	19794
Pattabhiraman	2019	139	Drama	6.5	1046
Celts	2021	106	Drama	6.8	372
When I Became a Butterfly	2018	102	Drama,Thriller	4.8	59
In Their Own Words, Billy the Kid & The Lincoln County War	2019	104	Drama,Western	5.2	16
Barof 2019	2019	101	Drama	6.5	17
Bull	2019	108	Drama	6.2	4107
The Australian Dream	2019	105	Documentary,Drama,Sport	7.9	919
The Sholay Girl	2019	106	Action,Biography,Drama	7.6	106
All I Can Say	2019	126	Documentary,Music	7.6	255
Slay the Dragon	2019	101	Documentary	7.3	460
Saalaiyoram	2016	125	Drama	7.0	29
Cinderella	2018	150	Musical	7.9	12
Jai Chhathi Maa	2019	141	Family	8.7	9
The Forgotten	2019	105	Drama,Romance,War	6.4	201
Kader Postasi	2019	104	Drama,Romance	6.7	60
Five Million Dollar Life	2019	112	Mystery	6.6	38
I Watched TV Show and Died from Blood	2019	719	Drama	7.8	24
The Little Things	2021	128	Crime,Drama,Mystery	6.3	111016
Ispade Rajavum Idhaya Raniyum	2019	153	Drama,Romance	6.4	625
The Purple Mist	2019	106	Drama	6.5	130
Gone Kesh	2019	110	Comedy,Drama	6.8	2779
When the Persimmons Grew	2019	118	Documentary	6.3	47
Villa Caprice	2020	103	Drama	5.8	281
Finals	2019	122	Drama,Sport	7.1	391
The Protector	2019	126	Comedy,Romance	5.6	827
Seeru	2020	123	Action,Drama	5.4	374
Love Aaj Kal	2020	142	Drama,Romance	4.6	10010
Nedunalvaadai	2019	120	Drama	7.0	321
My Cousin	2020	104	Comedy	5.3	632
The Humans	2021	108	Drama	6.2	9300
Aghavan	2019	158	Family	6.9	38
The Young Messiah	2016	111	Drama,Fantasy	5.7	3764
Patterns of Evidence: Moses Controversy	2019	140	Documentary	6.6	140
Nagarsevak - Ek Nayak	2017	120	Action	4.8	6
Laal Singh Chaddha	2022	159	Comedy,Drama,Romance	5.5	175458
Rangeela Raybaa	2017	143	Romance	8.4	19
Spandan What is Relationship	2017	142	Romance	7.4	5
Ubuntu	2017	114	Drama	8.4	39
Super Sketch	2018	119	Thriller	7.4	29
Mukherjee Dar Bou	2019	127	Drama,Family	7.9	549
Adventures in Game Chasing	2022	101	Comedy	6.0	181
Piola	2019	102	Drama	6.4	355
Fear of Rain	2021	109	Drama,Horror,Thriller	5.9	8653
One Moment	2021	114	Comedy	5.3	211
Our Lady of San Juan, Four Centuries of Miracles	2021	122	Drama,History	6.3	88
Old Is Gold	2019	136	Comedy,Drama	5.8	13
